,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.33045287132263185,0.03492097369368643,0.2978923797607422,0.023573513490712572,3,2,uniform,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.8461538461538461,0.8749999999999999,0.9166666666666666,0.88,0.7916666666666667,0.861897435897436,0.04166358173984207,1
11,0.36360764503479004,0.012240665549775416,0.1989530563354492,0.018354093290784336,3,2,distance,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.8235294117647058,0.8571428571428572,0.8979591836734694,0.8571428571428572,0.8085106382978724,0.8488569896043524,0.031040782616106117,6
12,0.3829303741455078,0.01864900077169974,0.46164822578430176,0.02074943328097738,4,1,uniform,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.8260869565217391,0.7499999999999999,0.6829268292682927,0.8333333333333333,0.7391304347826089,0.7662955107811947,0.05660902528591205,26
13,0.381427001953125,0.0073946465259156335,0.33693976402282716,0.01896797977328191,4,1,distance,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.7843137254901961,0.7755102040816326,0.8510638297872342,0.8571428571428572,0.8333333333333333,0.8202727899670507,0.03398473537628084,16
14,0.3806264877319336,0.02315947429084714,0.3454792022705078,0.03336284234673691,4,2,uniform,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.8444444444444444,0.7804878048780487,0.7499999999999999,0.8695652173913043,0.7555555555555556,0.8000106044538706,0.04831285947003124,20
15,0.38988614082336426,0.023933984222161118,0.19164295196533204,0.012973872512435477,4,2,distance,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.8627450980392156,0.8333333333333333,0.8936170212765958,0.8936170212765958,0.7916666666666667,0.8549958281184814,0.03878940751474232,4
16,0.376432466506958,0.012533660504988239,0.4624903678894043,0.013031903073292881,5,1,uniform,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7843137254901961,0.7142857142857143,0.6829268292682927,0.8000000000000002,0.816326530612245,0.7595705599312896,0.051755159683200616,28
17,0.35368056297302247,0.0043142643212483985,0.29586615562438967,0.013935702570921808,5,1,distance,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7843137254901961,0.7391304347826089,0.8333333333333333,0.8571428571428572,0.8333333333333333,0.8094507368164658,0.042407804448124524,18
18,0.3076936721801758,0.0051458673120250605,0.2864438533782959,0.010397431581562895,5,2,uniform,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.8399999999999999,0.8695652173913043,0.7142857142857143,0.8749999999999999,0.8076923076923077,0.8213086478738653,0.058651747583138285,15
19,0.3075242519378662,0.015381744569713163,0.15567874908447266,0.007028600685924255,5,2,distance,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8000000000000002,0.8571428571428572,0.8695652173913043,0.8749999999999999,0.816326530612245,0.8436069210292814,0.029961186180493878,8
